division,method,count,location_quotient,division_share,overall_share,specialized
RAND Climate and Environment,Impact Assessment,8,27.424648577966654,0.1052631578947368,0.0038382682496543,True
RAND Climate and Environment,Foresight,8,14.668998076586815,0.1052631578947368,0.0071758928145711,True
RAND Climate and Environment,Simulation,36,7.517653384312085,0.4736842105263157,0.0630095837505364,True
RAND Climate and Environment,Systematic Review,8,2.708814982240878,0.1052631578947368,0.038859486005817,True
RAND Education and Labor,Center for Causal Inference,5,9.40915208613728,0.0011215791834903,0.0001192008773184,True
RAND Education and Labor,Center for Gaming,8,9.40915208613728,0.0017945266935845,0.0001907214037095,True
RAND Education and Labor,Structural equation modeling,4,9.40915208613728,0.0008972633467922,9.536070185476564e-05,True
RAND Education and Labor,Econometric Analysis,8,8.363690743233139,0.0017945266935845,0.0002145615791732,True
RAND Education and Labor,Random effects,4,6.272768057424854,0.0008972633467922,0.0001430410527821,True
RAND Education and Labor,NER,29,4.263522039030955,0.006505159264244,0.0015257712296762,True
RAND Education and Labor,Fixed effects,120,4.120796534074722,0.0269179004037685,0.0065322080770514,True
RAND Education and Labor,stacking,28,3.874356741350645,0.0062808434275459,0.001621131931531,True
RAND Education and Labor,Mixed-Methods,165,3.705274687858357,0.0370121130551817,0.0099890335192867,True
RAND Education and Labor,algorithmic bias,40,3.58443888995706,0.0089726334679228,0.0025032184236875,True
RAND Education and Labor,Survey Design,50,3.484871143013808,0.0112157918349035,0.0032184236875983,True
RAND Education and Labor,Sampling Strategy,17,3.403310329028378,0.0038133692238672,0.0011204882467934,True
RAND Education and Labor,Focus Group,226,2.937111010313572,0.050695379093764,0.0172602870357125,True
RAND Education and Labor,Meta-Analysis,296,2.8981363345438456,0.0663974876626289,0.0229104086206074,True
RAND Education and Labor,Program Evaluation,235,2.8567839021217845,0.0527142216240466,0.0184522958088971,True
RAND Education and Labor,Causal Inference,18,2.776471107384772,0.0040376850605652,0.0014542507032851,True
RAND Education and Labor,Qualitative Data Analysis,36,2.7316893153301787,0.0080753701211305,0.0029561817574977,True
RAND Education and Labor,Implementation Science,61,2.632836134194377,0.0136832660385823,0.0051971582510847,True
RAND Education and Labor,Content Analysis,119,2.573997927012268,0.0266935845670704,0.0103704763267057,True
RAND Education and Labor,Propensity score matching,15,2.566132387128349,0.003364737550471,0.001311209650503,True
RAND Education and Labor,Return on Investment,172,2.540618773650883,0.0385823239120681,0.0151861917703714,True
RAND Education and Labor,SEM,16,2.467974317675352,0.0035890533871691,0.0014542507032851,True
RAND Education and Labor,Randomized Controlled Trial,64,2.298418830201473,0.0143562135486765,0.0062461259714871,True
RAND Education and Labor,large language model,20,2.267265562924646,0.0044863167339614,0.0019787345634863,True
RAND Education and Labor,Factor Analysis,43,2.053774313217782,0.009645580978017,0.0046965145663472,True
RAND Education and Labor,Regression Analysis,112,2.0226968016264406,0.0251233737101839,0.0124207314165832,True
RAND Health Care,Microsimulation,9,15.31434830230011,0.0032858707557502,0.0002145615791732,True
RAND Health Care,Modified Delphi,8,15.31434830230011,0.0029207740051113,0.0001907214037095,True
RAND Health Care,Multivariate Analysis,6,13.12658425911438,0.0021905805038335,0.0001668812282458,True
RAND Health Care,Survey Analysis,125,12.039581998663609,0.0456370938298649,0.0037905878987269,True
RAND Health Care,Rapid evidence assessment,50,11.601779016894024,0.0182548375319459,0.0015734515806036,True
RAND Health Care,Sensitivity Analysis,52,7.110233140353623,0.0189850310332238,0.0026700996519334,True
RAND Health Care,embedding,206,7.041865514004068,0.0752099306316173,0.0106803986077337,True
RAND Health Care,Implementation Science,97,6.814182501482159,0.0354143848119751,0.0051971582510847,True
RAND Health Care,Ethnography,10,6.380978459291713,0.0036509675063891,0.0005721642111285,True
RAND Health Care,Horizon Scanning,34,5.785420469757819,0.0124132895217232,0.0021456157917322,True
RAND Health Care,Cross-Validation,38,4.890296096532808,0.0138736765242789,0.0028369808801792,True
RAND Health Care,Sampling Strategy,15,4.887557968819183,0.0054764512595837,0.0011204882467934,True
RAND Health Care,Fixed effects,76,4.247775441513899,0.0277473530485578,0.0065322080770514,True
RAND Health Care,ROI,100,3.847826206608068,0.0365096750638919,0.0094883898345491,True
RAND Health Care,Systematic Review,404,3.795703505600764,0.1474990872581234,0.038859486005817,True
RAND Health Care,Outcome Evaluation,72,3.7891171057237374,0.0262869660460021,0.0069374910599342,True
RAND Health Care,Needs Assessment,77,3.551821744810568,0.0281124497991967,0.0079149382539455,True
RAND Health Care,sentiment analysis,4,3.062869660460022,0.0014603870025556,0.0004768035092738,True
RAND Health Care,Randomized Controlled Trial,49,2.8641338427965857,0.017889740781307,0.0062461259714871,True
RAND Health Care,Quasi-Experimental Design,14,2.680010952902519,0.0051113545089448,0.0019072140370953,True
RAND Health Care,Longitudinal Analysis,8,2.552391383716685,0.0029207740051113,0.0011443284222571,True
RAND Health Care,Mixed-Methods,69,2.5219332526460803,0.0251916757940854,0.0099890335192867,True
RAND Health Care,Meta-Analysis,155,2.4700561777903403,0.0565899963490324,0.0229104086206074,True
RAND Health Care,Qualitative Data Analysis,20,2.4700561777903403,0.0073019350127783,0.0029561817574977,True
RAND Health Care,Robust Decision Making,10,2.015045829250014,0.0036509675063891,0.0018118533352405,True
RAND Homeland Security,Textual Analysis,8,45.79257641921397,0.0087336244541484,0.0001907214037095,True
RAND Homeland Security,Research Synthesis,54,28.42297846709833,0.0589519650655021,0.0020740952653411,True
RAND Homeland Security,Impact Assessment,78,22.18522335837696,0.0851528384279476,0.0038382682496543,True
RAND Homeland Security,Process Evaluation,32,9.96845200962481,0.0349344978165938,0.0035045057931626,True
RAND Homeland Security,Qualitative Data Analysis,20,7.385899422453867,0.0218340611353711,0.0029561817574977,True
RAND Homeland Security,RFI,16,6.977916406737368,0.0174672489082969,0.0025032184236875,True
RAND Homeland Security,RDM,7,5.623649735692944,0.0076419213973799,0.0013588900014304,True
RAND Homeland Security,Outcome Evaluation,32,5.035609778057894,0.0349344978165938,0.0069374910599342,True
RAND Homeland Security,Delphi Method,16,4.917323642331701,0.0174672489082969,0.00355218614409,True
RAND Homeland Security,Randomized Controlled Trial,28,4.893863128770959,0.0305676855895196,0.0062461259714871,True
RAND Homeland Security,Implementation Science,22,4.621269179920676,0.0240174672489082,0.0051971582510847,True
RAND Homeland Security,Robust Decision Making,7,4.217737301769708,0.0076419213973799,0.0018118533352405,True
RAND Homeland Security,Risk Assessment,116,3.1487485860277538,0.1266375545851528,0.0402183760072474,True
RAND Homeland Security,Literature Review,157,2.95861501967761,0.1713973799126637,0.0579316263767701,True
RAND Homeland Security,Systematic Review,104,2.921734937176842,0.1135371179039301,0.038859486005817,True
RAND Homeland Security,Needs Assessment,19,2.6206594938706798,0.0207423580786026,0.0079149382539455,True
RAND Infrastructure,Stress Testing,18,17.594798657718123,0.0075503355704697,0.0004291231583464,True
RAND Infrastructure,Institutional analysis,8,17.59479865771812,0.0033557046979865,0.0001907214037095,True
RAND Infrastructure,Uncertainty Analysis,20,17.59479865771812,0.0083892617449664,0.0004768035092738,True
RAND Infrastructure,Time Series Analysis,10,14.6623322147651,0.0041946308724832,0.0002860821055642,True
RAND Infrastructure,regularization,40,13.7998420844848,0.0167785234899328,0.0012158489486482,True
RAND Infrastructure,RDM,35,10.803823737195335,0.0146812080536912,0.0013588900014304,True
RAND Infrastructure,Geospatial Analysis,18,9.897074244966444,0.0075503355704697,0.0007628856148381,True
RAND Infrastructure,deep neural network,32,9.081186403983546,0.0134228187919463,0.0014780908787488,True
RAND Infrastructure,Robust Decision Making,35,8.102867802896503,0.0146812080536912,0.0018118533352405,True
RAND Infrastructure,CRC,30,7.997635753508236,0.0125838926174496,0.0015734515806036,True
RAND Infrastructure,Expert Elicitation,40,7.649912459877444,0.0167785234899328,0.0021932961426596,True
RAND Infrastructure,Regression Analysis,217,7.328351840162826,0.0910234899328859,0.0124207314165832,True
RAND Infrastructure,Cross-Validation,40,5.914218036207772,0.0167785234899328,0.0028369808801792,True
RAND Infrastructure,transformer,26,5.718309563758389,0.0109060402684563,0.0019072140370953,True
RAND Infrastructure,Rapid evidence assessment,16,4.265405735204393,0.0067114093959731,0.0015734515806036,True
RAND Infrastructure,stacking,16,4.13995262534544,0.0067114093959731,0.001621131931531,True
RAND Infrastructure,explainable AI,16,3.391768415945662,0.0067114093959731,0.0019787345634863,True
RAND Infrastructure,AI model,16,2.7599684168969603,0.0067114093959731,0.0024316978972965,True
RAND Infrastructure,Case Study,697,2.379428534037549,0.2923657718120805,0.1228722643398655,True
RAND Infrastructure,Survey Design,16,2.0853094705443698,0.0067114093959731,0.0032184236875983,True
RAND Infrastructure,Statistical Analysis,49,2.014357790252776,0.0205536912751677,0.0102035950984599,True
RAND Infrastructure,LLM,27,2.0044707331577607,0.0113255033557046,0.0056501215848948,True
RAND International,Counterfactual analysis,1,12.80793893129771,0.0003053435114503,2.3840175463691413e-05,True
RAND International,DNN,3,12.80793893129771,0.0009160305343511,7.152052639107424e-05,True
RAND International,PSM,4,12.80793893129771,0.0012213740458015,9.536070185476564e-05,True
RAND International,SNA,9,12.80793893129771,0.0027480916030534,0.0002145615791732,True
RAND International,counterfactual analysis,1,12.80793893129771,0.0003053435114503,2.3840175463691413e-05,True
RAND International,Scenario Analysis,93,6.473577829405908,0.0283969465648854,0.0043865922853192,True
RAND International,feature extraction,8,5.392816392125352,0.002442748091603,0.0004529633338101,True
RAND International,Causal Inference,25,5.249155299712176,0.0076335877862595,0.0014542507032851,True
RAND International,Pardee Center,18,5.239611380985426,0.0054961832061068,0.0010489677204024,True
RAND International,Statistical Analysis,167,4.997490190482985,0.0509923664122137,0.0102035950984599,True
RAND International,CNN,300,4.504550620620531,0.0916030534351145,0.0203356696705287,True
RAND International,Longitudinal Analysis,15,4.002480916030534,0.0045801526717557,0.0011443284222571,True
RAND International,image recognition,16,2.7323603053435117,0.0048854961832061,0.0017880131597768,True
RAND International,Foresight,64,2.72328269635566,0.0195419847328244,0.0071758928145711,True
RAND International,Wargaming,99,2.680731404225102,0.0302290076335877,0.011276402994326,True
RAND International,Social Network Analysis,15,2.596203837425212,0.0045801526717557,0.0017641729843131,True
RAND International,Trend Analysis,36,2.492355683928203,0.0109923664122137,0.0044104324607829,True
RAND International,Scenario Planning,7,2.3593571715548416,0.0021374045801526,0.0009059266676202,True
RAND International,Red Teaming,9,2.3524785792179466,0.0027480916030534,0.0011681685977208,True
RAND International,PCA,11,2.2363067975281714,0.0033587786259541,0.0015019310542125,True
RAND International,data mining,8,2.2274676402256888,0.002442748091603,0.0010966480713298,True
RAND International,System Dynamics,6,2.134656488549618,0.0018320610687022,0.0008582463166928,True
RAND International,Time Series Analysis,2,2.134656488549618,0.0006106870229007,0.0002860821055642,True
RAND International,speech recognition,16,2.028980424760033,0.0048854961832061,0.0024078577218328,True
RAND Justice Policy,Realist evaluation,24,11.52679307502061,0.0065952184666117,0.0005721642111285,True
RAND Justice Policy,Survival Analysis,98,11.52679307502061,0.0269304754053311,0.0023363371954417,True
RAND Justice Policy,semantic search,4,11.52679307502061,0.0010992030777686,9.536070185476564e-05,True
RAND Justice Policy,model calibration,42,10.085943940643034,0.0115416323165704,0.0011443284222571,True
RAND Justice Policy,Difference-in-differences,219,9.419282400856394,0.0601813685078318,0.0063891670242692,True
RAND Justice Policy,RCT,344,9.01185640410702,0.0945314646881011,0.0104896772040242,True
RAND Justice Policy,Document Analysis,7,8.965283502793808,0.001923605386095,0.0002145615791732,True
RAND Justice Policy,Delphi Method,107,8.277629926357083,0.0294036823303105,0.00355218614409,True
RAND Justice Policy,Propensity score matching,38,7.963966124559693,0.0104424292388018,0.001311209650503,True
RAND Justice Policy,Social Network Analysis,51,7.944141173325016,0.0140148392415498,0.0017641729843131,True
RAND Justice Policy,Quasi-Experimental Design,54,7.780585325638912,0.0148392415498763,0.0019072140370953,True
RAND Justice Policy,Process Evaluation,85,6.665152458345251,0.0233580654025831,0.0035045057931626,True
RAND Justice Policy,fine-tuning,58,6.023008994154913,0.0159384446276449,0.0026462594764697,True
RAND Justice Policy,Clustering,179,5.044733399581148,0.0491893377301456,0.0097506317646497,True
RAND Justice Policy,Expert Elicitation,40,5.011649163052439,0.0109920307776861,0.0021932961426596,True
RAND Justice Policy,Randomized Controlled Trial,97,4.267553161362592,0.0266556746358889,0.0062461259714871,True
RAND Justice Policy,Outcome Evaluation,103,4.079930194938567,0.0283044792525419,0.0069374910599342,True
RAND Justice Policy,Program Evaluation,264,3.931619343417882,0.0725474031327287,0.0184522958088971,True
RAND Justice Policy,Random effects,2,3.8422643583402034,0.0005496015388843,0.0001430410527821,True
RAND Justice Policy,Needs Assessment,94,3.263610087505836,0.0258312723275625,0.0079149382539455,True
RAND Justice Policy,CRC,17,2.9690224587174296,0.0046716130805166,0.0015734515806036,True
RAND Justice Policy,Robustness Checks,18,2.694575004550272,0.0049464138499587,0.0018356935107042,True
RAND Justice Policy,Meta-Analysis,187,2.2429867898323144,0.0513877438856828,0.0229104086206074,True
RAND Justice Policy,Research Synthesis,16,2.119869990808388,0.0043968123110744,0.0020740952653411,True
RAND Justice Policy,Systematic Review,287,2.029564179466819,0.0788678208298983,0.038859486005817,True
RAND Justice Policy,BERT,24,2.004659665220976,0.0065952184666117,0.0032899442139894,True
RAND National Security Research,Monte Carlo Simulation,23,5.174047119773037,0.0028370543974343,0.0005483240356649,True
RAND National Security Research,Decision theory,7,5.174047119773036,0.0008634513383495,0.0001668812282458,True
RAND National Security Research,Text-as-data,9,5.174047119773035,0.0011101517207351,0.0002145615791732,True
RAND National Security Research,Utility Analysis,9,5.174047119773035,0.0011101517207351,0.0002145615791732,True
RAND National Security Research,Factor Analysis,133,3.493138410811237,0.0164055754286419,0.0046965145663472,True
RAND National Security Research,Tabletop Exercise,45,3.4751062744744265,0.0055507586036758,0.0015972917560673,True
RAND National Security Research,Trend Analysis,108,3.020524805056691,0.013321820648822,0.0044104324607829,True
RAND National Security Research,Content Analysis,251,2.9854846599150155,0.0309608979893918,0.0103704763267057,True
RAND National Security Research,PCA,34,2.7923428900362413,0.004193906500555,0.0015019310542125,True
RAND National Security Research,data mining,24,2.6995028450989755,0.0029604045886271,0.0010966480713298,True
RAND National Security Research,RFI,54,2.6609385187404184,0.006660910324411,0.0025032184236875,True
RAND National Security Research,System Dynamics,18,2.587023559886517,0.0022203034414703,0.0008582463166928,True
RAND National Security Research,topic modeling,9,2.587023559886517,0.0011101517207351,0.0004291231583464,True
RAND National Security Research,Longitudinal Analysis,23,2.479230911557913,0.0028370543974343,0.0011443284222571,True
RAND National Security Research,Risk Assessment,780,2.3922683778440827,0.0962131491303811,0.0402183760072474,True
RAND National Security Research,emergent behavior,5,2.351839599896834,0.0006167509559639,0.0002622419301006,True
RAND National Security Research,Network Analysis,250,2.3181214694323637,0.030837547798199,0.0133028179087398,True
RAND National Security Research,RL,90,2.217448765617015,0.0111015172073516,0.0050064368473751,True
RAND National Security Research,Pardee Center,18,2.1166556399071506,0.0022203034414703,0.0010489677204024,True
RAND National Security Research,Simulation,1032,2.0202862760521274,0.1272973973109658,0.0630095837505364,True
RAND National Security Research,Robustness Checks,30,2.015862514197287,0.0037005057357838,0.0018356935107042,True
RAND Science and Technology,AI deployment,9,2.58256372367935,0.0005541189508681,0.0002145615791732,True
RAND Science and Technology,AI ecosystem,117,2.58256372367935,0.0072035463612855,0.0027893005292518,True
RAND Science and Technology,AI governance,297,2.58256372367935,0.0182859253786479,0.0070805321127163,True
RAND Science and Technology,AI market,9,2.58256372367935,0.0005541189508681,0.0002145615791732,True
RAND Science and Technology,Backcasting,18,2.58256372367935,0.0011082379017362,0.0004291231583464,True
RAND Science and Technology,GPT,123,2.58256372367935,0.0075729589951976,0.002932341582034,True
RAND Science and Technology,Llama,27,2.58256372367935,0.0016623568526043,0.0006436847375196,True
RAND Science and Technology,XAI,54,2.58256372367935,0.0033247137052087,0.0012873694750393,True
RAND Science and Technology,discriminative model,9,2.58256372367935,0.0005541189508681,0.0002145615791732,True
RAND Science and Technology,neural network model,9,2.58256372367935,0.0005541189508681,0.0002145615791732,True
RAND Science and Technology,prompt engineering,18,2.58256372367935,0.0011082379017362,0.0004291231583464,True
RAND Science and Technology,synthetic data,27,2.58256372367935,0.0016623568526043,0.0006436847375196,True
RAND Science and Technology,AI analytics,6,2.5825637236793497,0.000369412633912,0.0001430410527821,True
RAND Science and Technology,AI company,16,2.5825637236793497,0.0009851003570988,0.000381442807419,True
RAND Science and Technology,AI ethics,55,2.5825637236793497,0.0033862824775273,0.001311209650503,True
RAND Science and Technology,AI investment,14,2.5825637236793497,0.0008619628124615,0.0003337624564916,True
RAND Science and Technology,AI regulation,92,2.5825637236793497,0.0056643270533185,0.0021932961426596,True
RAND Science and Technology,AI sector,116,2.5825637236793497,0.0071419775889668,0.0027654603537882,True
RAND Science and Technology,AI solution,5,2.5825637236793497,0.0003078438615933,0.0001192008773184,True
RAND Science and Technology,Edge AI,14,2.5825637236793497,0.0008619628124615,0.0003337624564916,True
RAND Science and Technology,MCDA,40,2.5825637236793497,0.0024627508927471,0.0009536070185476,True
RAND Science and Technology,ML model,59,2.5825637236793497,0.0036325575668021,0.0014065703523577,True
RAND Science and Technology,RAND Frederick S. Pardee Center for Longer Range Global Policy and the Future Human Condition,4,2.5825637236793497,0.0002462750892747,9.536070185476564e-05,True
RAND Science and Technology,RNN,12,2.5825637236793497,0.0007388252678241,0.0002860821055642,True
RAND Science and Technology,Serious Gaming,6,2.5825637236793497,0.000369412633912,0.0001430410527821,True
RAND Science and Technology,attention mechanism,6,2.5825637236793497,0.000369412633912,0.0001430410527821,True
RAND Science and Technology,backpropagation,48,2.5825637236793497,0.0029553010712966,0.0011443284222571,True
RAND Science and Technology,generative adversarial network,78,2.5825637236793497,0.004802364240857,0.0018595336861679,True
RAND Science and Technology,image classification,16,2.5825637236793497,0.0009851003570988,0.000381442807419,True
RAND Science and Technology,multimodal AI,7,2.5825637236793497,0.0004309814062307,0.0001668812282458,True
RAND Science and Technology,recurrent neural network,12,2.5825637236793497,0.0007388252678241,0.0002860821055642,True
RAND Science and Technology,stochastic gradient descent,6,2.5825637236793497,0.000369412633912,0.0001430410527821,True
RAND Science and Technology,text mining,2,2.5825637236793497,0.0001231375446373,4.7680350927382826e-05,True
RAND Science and Technology,transfer learning,21,2.5825637236793497,0.0012929442186922,0.0005006436847375,True
RAND Science and Technology,AI policy,98,2.4812867149076108,0.0060337396872306,0.0024316978972965,True
RAND Science and Technology,AI system,147,2.449270112134609,0.0090506095308459,0.0036952271968721,True
RAND Science and Technology,AI safety,260,2.4328498846254742,0.0160078808028567,0.0065798884279788,True
RAND Science and Technology,Discourse analysis,46,2.4244475773316343,0.0028321635266592,0.0011681685977208,True
RAND Science and Technology,AI risk,114,2.413215282782343,0.0070188400443295,0.0029085014065703,True
RAND Science and Technology,reinforcement learning,192,2.407049684205996,0.0118212042851865,0.0049110761455204,True
RAND Science and Technology,AI development,461,2.3528890842217,0.0283832040389114,0.0120631287846278,True
RAND Science and Technology,convolutional neural network,45,2.3243073513114147,0.0027705947543405,0.0011920087731845,True
RAND Science and Technology,AI industry,60,2.2787326973641324,0.0036941263391207,0.001621131931531,True
RAND Science and Technology,supervised learning,96,2.253873795211069,0.0059106021425932,0.002622419301006,True
RAND Science and Technology,GIS,324,2.21949773600029,0.0199482822312523,0.0089877461498116,True
RAND Science and Technology,AI research,163,2.2039679945535813,0.0100357098879448,0.004553473513565,True
RAND Science and Technology,Principal Component Analysis,22,2.1852462277286806,0.0013545129910109,0.0006198445620559,True
RAND Science and Technology,AI model,86,2.177455688592393,0.0052949144194064,0.0024316978972965,True
RAND Science and Technology,loss function,35,2.1521364363994584,0.0021549070311537,0.001001287369475,True
RAND Science and Technology,neural network,472,2.1460740802405867,0.0290604605344169,0.0135412196633767,True
RAND Science and Technology,ML algorithm,58,2.139838513905747,0.0035709887944834,0.0016688122824583,True
RAND Science and Technology,Red Teaming,40,2.108215284636204,0.0024627508927471,0.0011681685977208,True
RAND Science and Technology,sentiment analysis,16,2.06605097894348,0.0009851003570988,0.0004768035092738,True
RAND Science and Technology,AI bias,61,2.0459271057719524,0.0037556951114394,0.0018356935107042,True
RAND Science and Technology,deep learning,395,2.0443139696459784,0.0243196650658785,0.011896247556382,True
RAND Science and Technology,unsupervised learning,90,2.038866097641592,0.0055411895086811,0.0027177800028608,True
RAND Science and Technology,image recognition,59,2.0316167959610887,0.0036325575668021,0.0017880131597768,True
RAND Social and Economic Policy,Instrumental variable,3,381.3272727272727,0.0272727272727272,7.152052639107424e-05,True
RAND Social and Economic Policy,Ethnography,10,158.88636363636363,0.0909090909090909,0.0005721642111285,True
RAND Social and Economic Policy,Robustness Checks,9,44.570720188902,0.0818181818181818,0.0018356935107042,True
RAND Social and Economic Policy,Factor Analysis,6,11.614028610982924,0.0545454545454545,0.0046965145663472,True
RAND Social and Economic Policy,Difference-in-differences,5,7.114314789687924,0.0454545454545454,0.0063891670242692,True
RAND Social and Economic Policy,Literature Review,40,6.27699214365881,0.3636363636363636,0.0579316263767701,True
RAND Social and Economic Policy,Mixed-Methods,5,4.550444781948362,0.0454545454545454,0.0099890335192867,True
RAND Social and Economic Policy,GIS,4,4.045912707981674,0.0363636363636363,0.0089877461498116,True
RAND Social and Economic Policy,Regression Analysis,5,3.6595707555400456,0.0454545454545454,0.0124207314165832,True
RAND Social and Economic Policy,Meta-Analysis,8,3.174420584618295,0.0727272727272727,0.0229104086206074,True
RAND Social and Economic Policy,Risk Assessment,10,2.260386915988576,0.0909090909090909,0.0402183760072474,True
